tweetDate,userId,userName,tweetId,tweetText,retweetedTweet,quotedTweet,hashtag,replyCount,retweetCount,likeCount,viewCount
2021-11-19 02:06:16+00:00,27260086,justinbieber,1461516142552485894,ready? https://t.co/uIi864KOkB #BieberWAVE  @TheWaveXR,,https://twitter.com/bieberfever/status/1461513906271113216,['BieberWAVE'],1182,2621,13937,
2021-11-18 23:42:04+00:00,27260086,justinbieber,1461479853144911872,📷:@RoryKramer https://t.co/joUfCwNe7W,,,,225,1490,10477,
2021-11-18 23:42:03+00:00,27260086,justinbieber,1461479847386042376,what a great day with my boy @SamTompkinsUK ! 📷:@rorykramer https://t.co/A2wjwoBrXL,,,,541,3036,22240,
2021-11-18 23:31:09+00:00,27260086,justinbieber,1461477105124978692,📷: @RoryKramer https://t.co/1DMdvkum7i,,,,350,1998,14727,
2021-11-18 23:31:08+00:00,27260086,justinbieber,1461477100595122178,📷: @RoryKramer https://t.co/v7kXfbuWif,,,,713,3589,28893,
2021-11-18 17:59:08+00:00,27260086,justinbieber,1461393548872458250,Today @thewavexr 6pm PT / 9pm ET #BieberWave Join me here: https://t.co/8KNStRidql https://t.co/yj5ULPrV7R,,,['BieberWave'],639,3108,19504,
2021-11-18 16:37:39+00:00,27260086,justinbieber,1461373044677558286,"If you’re an American Express Cardmember, you can get early access to #JusticeWorldTour tickets in select EU &amp; ANZ cities. Terms apply. Supply is limited. Details here: https://t.co/vZFv2mdMiJ https://t.co/BhSqhFBNL4",,,['JusticeWorldTour'],1216,3069,20350,
2021-11-17 21:40:26+00:00,27260086,justinbieber,1461086854799925256,part 2: 📷: @rorykramer https://t.co/N93paxtjnu,,,,347,2758,18756,
2021-11-17 21:40:24+00:00,27260086,justinbieber,1461086847988375558,part 1: 📷: @rorykramer https://t.co/c4lxLFArcR,,,,814,5152,38576,
2021-11-17 21:29:54+00:00,27260086,justinbieber,1461084201843888135,Hailey Bieber x @drewhouse  📷: @amberasalyy https://t.co/jqfX5QJCeq,,,,233,1808,13524,
2021-11-17 21:29:52+00:00,27260086,justinbieber,1461084196638760968,Hailey Bieber x @drewhouse  📷: @amberasalyy https://t.co/ml2iD37IDL,,,,694,3751,28993,
2021-11-17 21:17:27+00:00,27260086,justinbieber,1461081071731290117,Love to see it @kanyewest @Drake https://t.co/TKRd2E0aoC,,,,1312,5745,61252,
2021-11-17 17:16:12+00:00,27260086,justinbieber,1461020360086859781,See you live in the metaverse tomorrow 11/18 @thewavexr #BieberWAVE Sign up: https://t.co/8KNStRidql,,https://twitter.com/TheWaveXR/status/1460767379240075266,['BieberWAVE'],617,2260,11965,
2021-11-17 17:00:00+00:00,27260086,justinbieber,1461016283412156418,See you live in the metaverse tomorrow 11/18 @thewavexr #BieberWAVE Sign up: https://t.co/8KNStRidql https://t.co/lGKEdx1zRW,,,['BieberWAVE'],948,3032,15337,
2021-11-15 14:55:01+00:00,27260086,justinbieber,1460260051818631174,"Justice World Tour with special guest @jaden, @EddieBenjamin_, @harryhudson, @OfficialMateo https://t.co/8ENMTo0ZqM",,,,449,2923,17360,
2021-11-15 14:54:59+00:00,27260086,justinbieber,1460260045195784195,"Justice World Tour 2022
International tickets on sale Friday 
https://t.co/cuzPWEvcv0 https://t.co/tQeMMjnIQO",,,,6020,19018,80366,
